team,simulations,round_of_32_prob,round_of_16_prob,quarterfinal_prob,semifinal_prob,final_prob,champion_prob
Argentina,10000,0.9918,0.8855,0.6913,0.4959,0.34,0.2207
France,10000,0.9873,0.858,0.6441,0.4342,0.2779,0.1648
Spain,10000,0.989,0.8312,0.581,0.3716,0.2146,0.1202
England,10000,0.9869,0.8278,0.5676,0.3569,0.2012,0.1023
Brazil,10000,0.9853,0.822,0.5571,0.3297,0.1799,0.0914
Portugal,10000,0.9877,0.8084,0.5257,0.3044,0.1673,0.0831
Netherlands,10000,0.9274,0.6972,0.4225,0.2215,0.1061,0.0449
Belgium,10000,0.9844,0.7786,0.4637,0.2294,0.1003,0.041
Germany,10000,0.9758,0.7351,0.4221,0.2083,0.0913,0.0357
Uruguay,10000,0.969,0.6875,0.3698,0.1739,0.0713,0.0267
Croatia,10000,0.9682,0.6645,0.3349,0.1465,0.053,0.0169
Colombia,10000,0.9702,0.6386,0.3116,0.1345,0.0469,0.0155
Morocco,10000,0.9517,0.5927,0.2644,0.1001,0.0334,0.0091
Japan,10000,0.8043,0.4446,0.1875,0.0706,0.0219,0.006
United States,10000,0.8559,0.4855,0.2026,0.0688,0.0191,0.0052
Switzerland,10000,0.955,0.5804,0.2341,0.0756,0.0184,0.005
Mexico,10000,0.9073,0.4988,0.1923,0.059,0.0151,0.0038
Senegal,10000,0.8677,0.4036,0.1405,0.0423,0.01,0.002
Austria,10000,0.8779,0.3987,0.1376,0.0377,0.0088,0.0019
Sweden,10000,0.6584,0.2682,0.0885,0.0234,0.0055,0.0011
South Korea,10000,0.8246,0.3347,0.0948,0.0198,0.0036,0.0007
Ecuador,10000,0.8558,0.344,0.0967,0.0208,0.004,0.0007
Turkey,10000,0.7325,0.312,0.092,0.0222,0.0041,0.0007
Ivory Coast,10000,0.7835,0.2439,0.058,0.0098,0.0016,0.0003
Australia,10000,0.6172,0.2063,0.0493,0.009,0.0011,0.0001
Paraguay,10000,0.5696,0.1668,0.0379,0.0062,0.0009,0.0001
Algeria,10000,0.5908,0.1123,0.0206,0.0033,0.0005,0.0001
Czechia,10000,0.6384,0.1525,0.0261,0.0027,0.0002,0.0
Cape Verde,10000,0.1648,0.0095,0.0008,0.0001,0.0,0.0
Canada,10000,0.7004,0.1525,0.0244,0.0025,0.0001,0.0
Bosnia and Herzegovina,10000,0.4951,0.0632,0.0062,0.0004,0.0,0.0
Curacao,10000,0.13,0.006,0.0004,0.0001,0.0001,0.0
Egypt,10000,0.7386,0.1939,0.0387,0.0057,0.0006,0.0
DR Congo,10000,0.2777,0.0165,0.0016,0.0001,0.0,0.0
New Zealand,10000,0.3315,0.0272,0.0026,0.0002,0.0,0.0
Jordan,10000,0.1771,0.0124,0.0004,0.0,0.0,0.0
Ghana,10000,0.3222,0.0279,0.0036,0.0007,0.0001,0.0
Haiti,10000,0.1635,0.0089,0.0006,0.0,0.0,0.0
Iran,10000,0.6111,0.1174,0.0171,0.0021,0.0003,0.0
Iraq,10000,0.1672,0.0106,0.001,0.0,0.0,0.0
Panama,10000,0.2874,0.0273,0.0018,0.0,0.0,0.0
Norway,10000,0.6509,0.1674,0.0334,0.005,0.0006,0.0
Qatar,10000,0.565,0.0881,0.0111,0.0006,0.0,0.0
Saudi Arabia,10000,0.4564,0.0569,0.0071,0.0009,0.0001,0.0
South Africa,10000,0.3781,0.0507,0.0058,0.0006,0.0,0.0
Scotland,10000,0.5152,0.0786,0.0101,0.0012,0.0,0.0
Tunisia,10000,0.3554,0.0838,0.0176,0.0016,0.0001,0.0
Uzbekistan,10000,0.2988,0.0218,0.0014,0.0001,0.0,0.0
