home_team,away_team,model_home_prob,market_home_prob,home_diff,model_draw_prob,market_draw_prob,draw_diff,model_away_prob,market_away_prob,away_diff,abs_diff
Canada,Qatar,0.4377277810962949,0.7576156846210603,-0.3198879035247654,0.2554185732511336,0.1660166543691367,0.0894019188819968,0.3068536456525714,0.0763676610098028,0.2304859846427685,0.6397758070495309
Norway,France,0.0687979396871283,0.2120343839541547,-0.1432364442670264,0.1640386839088177,0.2578796561604584,-0.0938409722516406,0.767163376404054,0.5300859598853869,0.2370774165186671,0.4741548330373342
Norway,Senegal,0.2472027323881364,0.4433525465368988,-0.1961498141487624,0.24649831355258,0.2762921666824152,-0.0297938531298352,0.5062989540592835,0.280355286780686,0.2259436672785974,0.4518873345571951
Panama,Croatia,0.0569219505570732,0.1478218065468865,-0.0908998559898133,0.1531494048380708,0.2457297563376815,-0.0925803514996106,0.789928644604856,0.6064484371154318,0.1834802074894241,0.3669604149788482
Iraq,Norway,0.1634565189022139,0.0726783310901749,0.0907781878120389,0.2212215260124659,0.1399730820995962,0.0812484439128696,0.6153219550853201,0.7873485868102288,-0.1720266317249087,0.3440532634498173
Colombia,DR Congo,0.8068147978710414,0.646830530401035,0.1599842674700063,0.1440494730125462,0.2263906856403622,-0.082341212627816,0.0491357291164122,0.1267787839586028,-0.0776430548421906,0.3199685349400131
Uruguay,Cape Verde,0.8294019593243388,0.6697674418604651,0.1596345174638737,0.1278537201662452,0.2113488372093023,-0.0834951170430571,0.042744320509416,0.1188837209302325,-0.0761394004208165,0.3192690349277474
Switzerland,Canada,0.6021161791430616,0.4543429844097996,0.147773194733262,0.224983344423611,0.2806236080178174,-0.0556402635942064,0.1729004764333273,0.2650334075723831,-0.0921329311390558,0.2955463894665243
Argentina,Algeria,0.8147564413116778,0.6777905638665133,0.1369658774451645,0.1383679079727034,0.1997698504027618,-0.0614019424300583,0.0468756507156186,0.1224395857307249,-0.0755639350151063,0.2739317548903293
Scotland,Brazil,0.0512975306931656,0.1365434456417951,-0.0852459149486295,0.1475277123985995,0.1950620652025644,-0.0475343528039649,0.8011747569082348,0.6683944891556405,0.1327802677525943,0.2655605355051887
Scotland,Morocco,0.1273234159716084,0.1863011219688744,-0.058977705997266,0.2041171863154212,0.2676438653637351,-0.0635266790483138,0.6685593977129703,0.5460550126673904,0.1225043850455799,0.2450087700911598
England,Ghana,0.8294019593243388,0.7081625046589639,0.1212394546653748,0.1278537201662452,0.1912038762579203,-0.0633501560916751,0.042744320509416,0.1006336190831159,-0.0578892985736999,0.2424789093307499
Uzbekistan,Colombia,0.0512975306931656,0.1004461500062398,-0.0491486193130742,0.1475277123985995,0.203029452140272,-0.0555017397416725,0.8011747569082348,0.6965243978534881,0.1046503590547467,0.2093007181094935
Uruguay,Spain,0.2703948084055406,0.1778496362166531,0.0925451721888874,0.2507398323401557,0.2400970088924817,0.0106428234476738,0.4788653592543037,0.582053354890865,-0.1031879956365612,0.2063759912731226
