team,group,elo_rating
Mexico,A,1675
South Africa,A,1455
South Korea,A,1615
Czechia,A,1535
Canada,B,1515
Bosnia and Herzegovina,B,1445
Qatar,B,1465
Switzerland,B,1685
Brazil,C,1825
Morocco,C,1715
Haiti,C,1355
Scotland,C,1495
United States,D,1695
Paraguay,D,1575
Australia,D,1595
Turkey,D,1635
Germany,E,1775
Curacao,E,1345
Ivory Coast,E,1585
Ecuador,E,1625
Netherlands,F,1795
Japan,F,1705
Sweden,F,1645
Tunisia,F,1545
Belgium,G,1780
Egypt,G,1555
Iran,G,1505
New Zealand,G,1415
Spain,H,1845
Cape Verde,H,1365
Saudi Arabia,H,1485
Uruguay,H,1765
France,I,1865
Senegal,I,1665
Iraq,I,1385
Norway,I,1565
Argentina,J,1885
Algeria,J,1525
Austria,J,1655
Jordan,J,1375
Portugal,K,1815
DR Congo,K,1395
Uzbekistan,K,1405
Colombia,K,1735
England,L,1835
Croatia,L,1745
Ghana,L,1435
Panama,L,1425
