match_id,bookmaker,home_odds,draw_odds,away_odds,timestamp,league_name
E0_2324_0,B365,8.0,5.5,1.33,2023-08-11,Premier League
E0_2324_1,B365,1.18,7.0,15.0,2023-08-12,Premier League
E0_2324_2,B365,2.7,3.4,2.55,2023-08-12,Premier League
E0_2324_3,B365,1.33,5.5,9.0,2023-08-12,Premier League
E0_2324_4,B365,2.2,3.4,3.3,2023-08-12,Premier League
E0_2324_5,B365,3.0,3.3,2.38,2023-08-12,Premier League
E0_2324_6,B365,1.75,3.75,4.6,2023-08-12,Premier League
E0_2324_7,B365,2.75,3.4,2.45,2023-08-13,Premier League
E0_2324_8,B365,2.9,3.4,2.38,2023-08-13,Premier League
E0_2324_9,B365,1.33,5.5,9.0,2023-08-14,Premier League
E0_2324_10,B365,1.95,3.4,4.0,2023-08-18,Premier League
E0_2324_11,B365,2.7,3.3,2.63,2023-08-19,Premier League
E0_2324_12,B365,1.2,7.0,13.0,2023-08-19,Premier League
E0_2324_13,B365,4.0,3.8,1.85,2023-08-19,Premier League
E0_2324_14,B365,2.8,3.6,2.38,2023-08-19,Premier League
E0_2324_15,B365,1.67,4.0,5.0,2023-08-19,Premier League
E0_2324_16,B365,1.7,4.0,4.5,2023-08-20,Premier League
E0_2324_17,B365,3.75,3.5,2.0,2023-08-20,Premier League
E0_2324_18,B365,5.5,4.0,1.6,2023-08-21,Premier League
E0_2324_19,B365,1.29,5.5,11.0,2023-08-25,Premier League
E0_2324_20,B365,3.8,3.75,1.91,2023-08-26,Premier League
E0_2324_21,B365,1.2,7.0,13.0,2023-08-26,Premier League
E0_2324_22,B365,2.15,3.4,3.5,2023-08-26,Premier League
E0_2324_23,B365,2.3,3.3,3.2,2023-08-26,Premier League
E0_2324_24,B365,1.3,6.0,8.0,2023-08-26,Premier League
E0_2324_25,B365,1.53,4.75,5.25,2023-08-26,Premier League
E0_2324_26,B365,3.4,3.4,2.15,2023-08-27,Premier League
E0_2324_27,B365,13.0,8.0,1.17,2023-08-27,Premier League
E0_2324_28,B365,2.2,3.75,3.0,2023-08-27,Premier League
E0_2324_29,B365,4.75,3.8,1.73,2023-09-01,Premier League
E0_2324_30,B365,2.9,3.25,2.5,2023-09-02,Premier League
E0_2324_31,B365,1.73,3.8,4.75,2023-09-02,Premier League
E0_2324_32,B365,3.6,4.0,1.85,2023-09-02,Premier League
E0_2324_33,B365,1.4,4.5,8.5,2023-09-02,Premier League
E0_2324_34,B365,1.17,8.0,15.0,2023-09-02,Premier League
E0_2324_35,B365,2.5,3.8,2.55,2023-09-02,Premier League
E0_2324_36,B365,1.91,3.3,4.33,2023-09-03,Premier League
E0_2324_37,B365,1.65,4.5,4.5,2023-09-03,Premier League
E0_2324_38,B365,1.75,3.8,4.5,2023-09-03,Premier League
E0_2324_39,B365,6.0,5.0,1.45,2023-09-16,Premier League
E0_2324_40,B365,1.91,3.6,4.0,2023-09-16,Premier League
E0_2324_41,B365,1.67,3.75,5.5,2023-09-16,Premier League
E0_2324_42,B365,2.15,4.0,2.88,2023-09-16,Premier League
E0_2324_43,B365,1.29,5.5,11.0,2023-09-16,Premier League
E0_2324_44,B365,7.0,4.5,1.45,2023-09-16,Premier League
E0_2324_45,B365,1.53,4.2,6.0,2023-09-16,Premier League
E0_2324_46,B365,4.33,3.75,1.8,2023-09-17,Premier League
E0_2324_47,B365,6.0,4.5,1.5,2023-09-17,Premier League
E0_2324_48,B365,2.2,3.5,3.25,2023-09-18,Premier League
E0_2324_49,B365,1.91,3.4,4.2,2023-09-23,Premier League
E0_2324_50,B365,3.25,3.4,2.2,2023-09-23,Premier League
E0_2324_51,B365,1.14,8.5,15.0,2023-09-23,Premier League
E0_2324_52,B365,1.8,3.8,4.2,2023-09-23,Premier League
E0_2324_53,B365,4.2,4.2,1.73,2023-09-23,Premier League
E0_2324_54,B365,1.67,4.33,4.33,2023-09-24,Premier League
E0_2324_55,B365,1.36,5.25,7.5,2023-09-24,Premier League
E0_2324_56,B365,1.91,3.75,3.8,2023-09-24,Premier League
E0_2324_57,B365,1.4,5.0,7.0,2023-09-24,Premier League
E0_2324_58,B365,7.0,4.75,1.44,2023-09-24,Premier League
E0_2324_59,B365,2.55,3.75,2.55,2023-09-30,Premier League
E0_2324_60,B365,5.5,4.5,1.53,2023-09-30,Premier League
E0_2324_61,B365,1.57,3.8,6.5,2023-09-30,Premier League
E0_2324_62,B365,1.55,4.2,5.75,2023-09-30,Premier League
E0_2324_63,B365,1.3,5.75,9.0,2023-09-30,Premier League
E0_2324_64,B365,1.45,4.5,7.0,2023-09-30,Premier League
E0_2324_65,B365,8.0,5.75,1.33,2023-09-30,Premier League
E0_2324_66,B365,2.9,4.0,2.15,2023-09-30,Premier League
E0_2324_67,B365,2.75,3.1,2.7,2023-10-01,Premier League
E0_2324_68,B365,3.6,3.5,2.05,2023-10-02,Premier League
E0_2324_69,B365,2.9,3.0,2.63,2023-10-03,Premier League
E0_2324_70,B365,6.0,4.75,1.45,2023-10-07,Premier League
E0_2324_71,B365,4.5,3.8,1.73,2023-10-07,Premier League
E0_2324_72,B365,1.91,3.6,3.8,2023-10-07,Premier League
E0_2324_73,B365,1.62,3.8,6.0,2023-10-07,Premier League
E0_2324_74,B365,1.67,4.2,4.75,2023-10-07,Premier League
E0_2324_75,B365,2.2,3.1,3.6,2023-10-07,Premier League
E0_2324_76,B365,3.0,3.8,2.2,2023-10-08,Premier League
E0_2324_77,B365,3.2,3.75,2.1,2023-10-08,Premier League
E0_2324_78,B365,3.5,3.4,2.1,2023-10-08,Premier League
E0_2324_79,B365,2.9,3.3,2.4,2023-10-08,Premier League
E0_2324_80,B365,1.33,5.75,7.5,2023-10-21,Premier League
E0_2324_81,B365,2.38,3.4,3.0,2023-10-21,Premier League
E0_2324_82,B365,1.83,3.75,4.2,2023-10-21,Premier League
E0_2324_83,B365,1.4,5.25,6.5,2023-10-21,Premier League
E0_2324_84,B365,1.45,4.5,7.0,2023-10-21,Premier League
E0_2324_85,B365,1.67,3.75,5.5,2023-10-21,Premier League
E0_2324_86,B365,3.2,3.4,2.25,2023-10-21,Premier League
E0_2324_87,B365,6.5,5.25,1.4,2023-10-21,Premier League
E0_2324_88,B365,1.85,3.6,4.0,2023-10-22,Premier League
E0_2324_89,B365,1.5,4.5,6.0,2023-10-23,Premier League
E0_2324_90,B365,4.5,3.75,1.75,2023-10-27,Premier League
E0_2324_91,B365,1.65,4.0,5.25,2023-10-28,Premier League
E0_2324_92,B365,1.13,8.5,19.0,2023-10-28,Premier League
E0_2324_93,B365,2.15,3.5,3.3,2023-10-28,Premier League
E0_2324_94,B365,4.2,4.0,1.75,2023-10-28,Premier League
E0_2324_95,B365,2.15,3.5,3.3,2023-10-29,Premier League
E0_2324_96,B365,1.25,6.5,9.5,2023-10-29,Premier League
E0_2324_97,B365,1.55,4.2,5.5,2023-10-29,Premier League
E0_2324_98,B365,1.29,5.75,11.0,2023-10-29,Premier League
E0_2324_99,B365,5.0,3.8,1.67,2023-10-29,Premier League
E0_2324_100,B365,3.2,3.6,2.2,2023-11-04,Premier League
E0_2324_101,B365,2.05,3.6,3.5,2023-11-04,Premier League
E0_2324_102,B365,2.75,3.25,2.6,2023-11-04,Premier League
E0_2324_103,B365,3.1,3.6,2.2,2023-11-04,Premier League
E0_2324_104,B365,1.1,11.0,19.0,2023-11-04,Premier League
E0_2324_105,B365,3.8,3.5,2.0,2023-11-04,Premier League
E0_2324_106,B365,2.8,3.2,2.6,2023-11-04,Premier League
E0_2324_107,B365,4.2,3.75,1.85,2023-11-05,Premier League
E0_2324_108,B365,12.0,6.5,1.22,2023-11-05,Premier League
E0_2324_109,B365,2.0,3.75,3.5,2023-11-06,Premier League
E0_2324_110,B365,3.1,3.75,2.2,2023-11-11,Premier League
E0_2324_111,B365,1.18,7.0,17.0,2023-11-11,Premier League
E0_2324_112,B365,2.45,3.2,3.0,2023-11-11,Premier League
E0_2324_113,B365,1.33,5.25,9.5,2023-11-11,Premier League
E0_2324_114,B365,4.75,4.0,1.73,2023-11-11,Premier League
E0_2324_115,B365,1.57,4.2,5.5,2023-11-12,Premier League
E0_2324_116,B365,1.25,5.75,13.0,2023-11-12,Premier League
E0_2324_117,B365,1.4,5.0,6.5,2023-11-12,Premier League
