group,team,first_place_prob,second_place_prob,qualified_prob,third_place_prob,last_place_prob,avg_points,avg_goal_diff
-,Argentina,0.4532,0.2159,0.6691,0.1434,0.0815,5.1971,4.2534
-,France,0.1848,0.2082,0.393,0.1757,0.1179,4.3945,2.49
-,Colombia,0.1358,0.1697,0.3055,0.1631,0.1259,4.0484,2.0274
-,Spain,0.0857,0.1355,0.2212,0.1494,0.1334,3.6445,1.3138
-,Switzerland,0.0535,0.1015,0.155,0.1192,0.0985,3.1521,0.6124
-,Morocco,0.0426,0.0771,0.1197,0.0895,0.085,2.9389,0.3
-,Portugal,0.0383,0.0766,0.1149,0.1009,0.0991,2.8441,0.1666
-,Egypt,0.0061,0.0134,0.0195,0.02,0.0285,1.5486,-2.0545
-,Belgium,0.0,0.0006,0.0006,0.005,0.032,1.7015,0.4841
-,Brazil,0.0,0.0004,0.0004,0.0121,0.06,2.2531,1.3871
-,Croatia,0.0,0.0003,0.0003,0.0028,0.0176,1.0827,-0.4195
-,Australia,0.0,0.0002,0.0002,0.0048,0.0244,1.5304,0.2225
-,England,0.0,0.0002,0.0002,0.006,0.0404,1.8858,0.7916
-,United States,0.0,0.0002,0.0002,0.0016,0.0132,1.049,-0.4841
-,Algeria,0.0,0.0001,0.0001,0.0016,0.0102,0.7765,-0.9243
-,Canada,0.0,0.0001,0.0001,0.0005,0.0048,0.6443,-1.1417
-,Austria,0.0,0.0,0.0,0.0016,0.0097,0.699,-1.0609
-,Cape Verde,0.0,0.0,0.0,0.0003,0.0012,0.2022,-2.4214
-,Ghana,0.0,0.0,0.0,0.0004,0.0026,0.3696,-1.7155
-,Mexico,0.0,0.0,0.0,0.0009,0.0086,0.8694,-0.7916
-,Norway,0.0,0.0,0.0,0.0003,0.0032,0.5503,-1.3871
-,Paraguay,0.0,0.0,0.0,0.0009,0.0023,0.4022,-1.6483
