group,team,first_place_prob,second_place_prob,qualified_prob,third_place_prob,last_place_prob,avg_points,avg_goal_diff
A,Mexico,0.4936,0.2833,0.7769,0.1528,0.0703,5.733,2.3863
A,South Korea,0.297,0.3281,0.6251,0.2423,0.1326,4.7621,0.9549
A,Czechia,0.1488,0.2487,0.3975,0.3249,0.2776,3.6103,-0.7787
A,South Africa,0.0606,0.1399,0.2005,0.28,0.5195,2.4554,-2.5625
B,Switzerland,0.6474,0.2254,0.8728,0.0939,0.0333,6.4674,3.5333
B,Canada,0.1886,0.3414,0.53,0.2749,0.1951,4.176,-0.0719
B,Qatar,0.0857,0.2272,0.3129,0.3134,0.3737,3.06,-1.594
B,Bosnia and Herzegovina,0.0783,0.206,0.2843,0.3178,0.3979,2.9345,-1.8674
C,Brazil,0.6423,0.2903,0.9326,0.0582,0.0092,6.943,4.7097
C,Morocco,0.3144,0.5048,0.8192,0.1547,0.0261,5.7084,2.5513
C,Scotland,0.0372,0.1658,0.203,0.533,0.264,2.9158,-2.1659
C,Haiti,0.0061,0.0391,0.0452,0.2541,0.7007,1.3367,-5.0951
D,United States,0.4213,0.2728,0.6941,0.1847,0.1212,5.1983,1.5592
D,Turkey,0.2607,0.2739,0.5346,0.2504,0.215,4.2963,0.2553
D,Australia,0.1804,0.2343,0.4147,0.2841,0.3012,3.6593,-0.6607
D,Paraguay,0.1376,0.219,0.3566,0.2808,0.3626,3.3287,-1.1538
E,Germany,0.6384,0.2491,0.8875,0.0973,0.0152,6.6701,4.0985
E,Ecuador,0.2109,0.3841,0.595,0.3324,0.0726,4.72,0.9544
E,Ivory Coast,0.1425,0.3275,0.47,0.4114,0.1186,4.1737,0.0619
E,Curacao,0.0082,0.0393,0.0475,0.1589,0.7936,1.1991,-5.1148
F,Netherlands,0.5356,0.2747,0.8103,0.1385,0.0512,5.9637,2.7408
F,Japan,0.2611,0.3381,0.5992,0.2566,0.1442,4.6142,0.7283
F,Sweden,0.1533,0.2619,0.4152,0.3364,0.2484,3.7325,-0.5892
F,Tunisia,0.05,0.1253,0.1753,0.2685,0.5562,2.2701,-2.8799
G,Belgium,0.7626,0.1745,0.9371,0.0503,0.0126,7.0927,4.7393
G,Egypt,0.1327,0.3965,0.5292,0.2928,0.178,4.0982,-0.1533
G,Iran,0.0782,0.2935,0.3717,0.3619,0.2664,3.3765,-1.3059
G,New Zealand,0.0265,0.1355,0.162,0.295,0.543,2.1637,-3.2801
H,Spain,0.6255,0.3224,0.9479,0.0461,0.006,7.0048,4.8288
H,Uruguay,0.3466,0.5191,0.8657,0.1158,0.0185,5.9252,3.0513
H,Saudi Arabia,0.021,0.113,0.134,0.552,0.314,2.5885,-2.8577
H,Cape Verde,0.0069,0.0455,0.0524,0.2861,0.6615,1.4339,-5.0224
I,France,0.7263,0.203,0.9293,0.0626,0.0081,7.121,4.9757
I,Senegal,0.1802,0.4451,0.6253,0.3006,0.0741,4.7193,0.8921
I,Norway,0.0859,0.3,0.3859,0.4555,0.1586,3.7615,-0.846
I,Iraq,0.0076,0.0519,0.0595,0.1813,0.7592,1.2665,-5.0218
J,Argentina,0.7732,0.182,0.9552,0.0389,0.0059,7.3462,5.425
J,Austria,0.1754,0.522,0.6974,0.2395,0.0631,4.9002,1.1137
J,Algeria,0.0444,0.2353,0.2797,0.4837,0.2366,3.195,-1.7444
J,Jordan,0.007,0.0607,0.0677,0.2379,0.6944,1.4447,-4.7943
K,Portugal,0.5984,0.3383,0.9367,0.0558,0.0075,6.8372,4.5945
K,Colombia,0.3768,0.5097,0.8865,0.0965,0.017,6.0625,3.2067
K,Uzbekistan,0.0127,0.0781,0.0908,0.442,0.4672,2.0567,-3.8047
K,DR Congo,0.0121,0.0739,0.086,0.4057,0.5083,1.9452,-3.9965
L,England,0.6236,0.3161,0.9397,0.051,0.0093,6.9064,4.6349
L,Croatia,0.3463,0.5241,0.8704,0.1089,0.0207,5.924,2.9291
L,Ghana,0.0153,0.083,0.0983,0.4366,0.4651,2.09,-3.6731
L,Panama,0.0148,0.0768,0.0916,0.4035,0.5049,1.9581,-3.8909
