home_team,away_team,home_odds,draw_odds,away_odds
Brazil,Japan,1.69,3.7,5.0
Germany,Paraguay,1.33,5.0,10.0
Netherlands,Morocco,2.28,3.08,3.38
Ivory Coast,Norway,3.75,3.5,2.0
France,Sweden,1.26,6.0,11.5
Mexico,Ecuador,2.2,2.88,4.0
England,DR Congo,1.26,5.4,14.0
Belgium,Senegal,2.2,3.2,3.5
USA,Bosnia & Herzegovina,1.37,5.0,9.0
Spain,Austria,1.3,5.25,11.0
Portugal,Croatia,1.79,3.44,4.8
Switzerland,Algeria,2.02,3.25,4.0
Australia,Egypt,3.3,2.88,2.5
Argentina,Cape Verde,1.14,8.0,20.0
Colombia,Ghana,1.51,3.9,7.5
